Date,ob,oe
7/8/2019,11446.59668,305.734772
7/9/2019,12284.32617,313.325165
7/10/2019,12571.53711,308.851288
7/11/2019,12139.71387,289.945984
7/12/2019,11354.29981,268.692261
7/13/2019,11813.12695,276.289124
7/14/2019,11381.02051,269.281616
7/15/2019,10257.83887,227.965057
7/16/2019,10896.65332,229.748657
7/17/2019,9471.213867,199.066788
7/18/2019,9698.50293,211.444611
7/19/2019,10653.95606,226.6577
7/20/2019,10525.81934,221.412659
7/21/2019,10777.5293,229.167694
7/22/2019,10596.94824,225.698654
7/23/2019,10346.74805,217.568466
7/24/2019,9887.730469,212.553818
7/25/2019,9809.09668,216.969116
7/26/2019,9913.126953,219.628128
7/27/2019,9871.165039,219.61763
7/28/2019,9491.626953,207.413773
7/29/2019,9548.178711,211.123657
7/30/2019,9522.329102,211.339203
7/31/2019,9604.050781,210.492416
8/1/2019,10077.44238,218.554596
8/2/2019,10402.04297,217.88446
8/3/2019,10519.27832,217.895554
8/4/2019,10821.63281,222.580811
8/5/2019,10960.73535,222.650879
8/6/2019,11811.54492,234.24559
8/7/2019,11476.19336,225.925293
8/8/2019,11954.04004,226.518478
8/9/2019,11953.46973,220.908646
8/10/2019,11861.55664,210.530167
8/11/2019,11349.74023,206.732239
8/12/2019,11528.18945,216.055908
8/13/2019,11385.05273,211.342697
8/14/2019,10889.48731,208.603989
8/15/2019,10038.42188,186.683502
8/16/2019,10319.41992,188.644257
8/17/2019,10358.72266,185.531662
8/18/2019,10233.00586,185.841095
8/19/2019,10350.2832,194.55603
8/20/2019,10916.34668,202.813141
8/21/2019,10764.57227,196.621689
8/22/2019,10142.52148,186.941238
8/23/2019,10136.30957,191.106873
8/24/2019,10407.64453,194.671631
8/25/2019,10160.73731,191.234787
8/26/2019,10126.29981,186.73555
8/27/2019,10372.82617,188.950058
8/28/2019,10203.42676,187.495499
8/29/2019,9756.786133,173.958694
8/30/2019,9514.844727,169.489288
8/31/2019,9597.539063,168.887894
9/1/2019,9630.592773,172.458405
9/2/2019,9757.473633,171.697601
9/3/2019,10345.72559,178.357758
9/4/2019,10621.18066,179.491989
9/5/2019,10588.18359,175.966278
9/6/2019,10578.19824,174.172226
9/7/2019,10353.93164,169.955276
9/8/2019,10518.11426,178.282593
9/9/2019,10443.22852,181.362488
9/10/2019,10336.4082,181.212845
9/11/2019,10123.03516,179.839493
9/12/2019,10176.81934,178.803772
9/13/2019,10415.36231,180.975586
9/14/2019,10345.40332,181.321579
9/15/2019,10356.46582,188.068436
9/16/2019,10347.22266,189.689331
9/17/2019,10281.51367,197.114761
9/18/2019,10247.7959,208.050598
9/19/2019,10200.49609,211.247238
9/20/2019,10266.31836,221.069626
9/21/2019,10183.64844,217.897385
9/22/2019,10024.11523,215.486557
9/23/2019,10067.96289,211.713211
9/24/2019,9729.321289,201.842087
9/25/2019,8603.428711,168.133575
9/26/2019,8487.669922,170.756912
9/27/2019,8113.101074,166.651703
9/28/2019,8251.273438,174.680832
9/29/2019,8246.037109,174.612747
9/30/2019,8104.226563,170.461349
10/1/2019,8299.720703,180.209122
10/2/2019,8344.212891,177.22406
10/3/2019,8390.774414,180.703705
10/4/2019,8259.494141,175.238434
10/5/2019,8210.149414,176.94632
10/6/2019,8149.876953,176.36438
10/7/2019,7989.120605,172.940338
10/8/2019,8246.849609,181.113358
10/9/2019,8229.84082,182.036301
10/10/2019,8585.280273,193.191071
10/11/2019,8585.262695,191.801071
10/12/2019,8315.665039,182.534027
10/13/2019,8336.902344,180.861313
10/14/2019,8320.832031,182.028473
10/15/2019,8373.458008,186.977051
10/16/2019,8204.674805,181.343735
10/17/2019,8047.8125,175.906891
10/18/2019,8100.933594,177.988556
10/19/2019,7973.803711,173.649445
10/20/2019,7997.807129,172.974762
10/21/2019,8225.115234,175.52475
10/22/2019,8243.402344,174.90506
10/23/2019,8076.228516,172.262802
10/24/2019,7509.728027,162.514114
10/25/2019,7490.703125,162.189713
10/26/2019,8667.577148,181.667068
10/27/2019,9241.707031,179.932632
10/28/2019,9565.101563,184.397507
10/29/2019,9248.44043,182.67038
10/30/2019,9422.462891,190.336395
10/31/2019,9202.458008,184.797623
11/1/2019,9193.992188,183.803696
11/2/2019,9259.783203,184.018158
11/3/2019,9324.787109,183.994827
11/4/2019,9235.607422,182.319031
11/5/2019,9413.004883,186.309311
